AgeFrom,AgeTo,AgeLabelTH,ItemNo,Skill,Description,Method,PassCriteria,Track,SourcePage,NeedsReview
7,8,7 - 8 เดือน,24,RL,เด็กหันตามเสียงเรียกชื่อ,,,Teacher,79,
7,8,7 - 8 เดือน,25,EL,เลียนเสียงพูดคุย,,,Teacher,79,
7,8,7 - 8 เดือน,26,PS,เด็กเล่นจ๊ะเอ๋ได้และมองหาหน้าของผู้เล่นได้ถูกทิศทาง,,,Teacher,79,
10,12,10 - 12 เดือน (10 เดือน - 1 ปี),35,GM,ยืนนาน 2 วินาที,,,Teacher,80,
10,12,10 - 12 เดือน (10 เดือน - 1 ปี),36,FM,จีบนิ้วมือเพื่อหยิบของชิ้นเล็ก,,,Teacher,80,
10,12,10 - 12 เดือน (10 เดือน - 1 ปี),37,RL,โบกมือหรือตบมือตามคำสั่ง,,,Teacher,80,
10,12,10 - 12 เดือน (10 เดือน - 1 ปี),38,EL,แสดงความต้องการโดยทำท่าทางหรือเปล่งเสียง,,,Teacher,80,
10,12,10 - 12 เดือน (10 เดือน - 1 ปี),39,PS,เล่นสิ่งของตามประโยชน์ของสิ่งของได้,,,Teacher,80,
13,15,13 - 15 เดือน (1 ปี 1 เดือน - 1 ปี 3 เดือน),40,GM,ยืนอยู่ตามลำพังได้นานอย่างน้อย 10 วินาที,,,Teacher,80,
13,15,13 - 15 เดือน (1 ปี 1 เดือน - 1 ปี 3 เดือน),41,FM,ขีดเขียน (เป็นเส้น) บนกระดาษได้,,,Teacher,80,
13,15,13 - 15 เดือน (1 ปี 1 เดือน - 1 ปี 3 เดือน),42,RL,เลือกวัตถุตามคำสั่งได้ถูกต้อง 2 ชนิด,,,Teacher,80,
13,15,13 - 15 เดือน (1 ปี 1 เดือน - 1 ปี 3 เดือน),43,EL,พูดคำพยางค์เดียว (คำโดด) ได้ 2 คำ,,,Teacher,80,
13,15,13 - 15 เดือน (1 ปี 1 เดือน - 1 ปี 3 เดือน),44,PS,เลียนแบบท่าทางการทำงานบ้าน,,,Teacher,80,
16,17,16 - 17 เดือน (1 ปี 4 เดือน - 1 ปี 5 เดือน),45,GM,เดินลากของเล่นหรือสิ่งของได้,,,Teacher,80,
16,17,16 - 17 เดือน (1 ปี 4 เดือน - 1 ปี 5 เดือน),46,FM,ขีดเขียนได้เอง,,,Teacher,80,
16,17,16 - 17 เดือน (1 ปี 4 เดือน - 1 ปี 5 เดือน),47,RL,ทำตามคำสั่งง่าย ๆ โดยไม่มีท่าทางประกอบ,,,Teacher,80,
16,17,16 - 17 เดือน (1 ปี 4 เดือน - 1 ปี 5 เดือน),48,EL,ตอบชื่อวัตถุได้ถูกต้อง,,,Teacher,80,
16,17,16 - 17 เดือน (1 ปี 4 เดือน - 1 ปี 5 เดือน),49,PS,เล่นการใช้สิ่งของตามหน้าที่ได้มากขึ้นด้วยความสัมพันธ์ของ 2 สิ่งขึ้นไป,,,Teacher,80,
19,24,19 - 24 เดือน (1 ปี 7 เดือน - 2 ปี),60,GM,เหวี่ยงขาเตะลูกบอลได้,,,Teacher,80,
19,24,19 - 24 เดือน (1 ปี 7 เดือน - 2 ปี),61,FM,ต่อก้อนไม้ 4 ชั้น,,,Teacher,80,
19,24,19 - 24 เดือน (1 ปี 7 เดือน - 2 ปี),62,RL,เลือกวัตถุตามคำสั่ง (ตัวเลือก 4 ชนิด),,,Teacher,80,
19,24,19 - 24 เดือน (1 ปี 7 เดือน - 2 ปี),63,EL,เลียนคำพูดที่เป็นวลีประกอบด้วยคำ 2 คำขึ้นไป,,,Teacher,80,
19,24,19 - 24 เดือน (1 ปี 7 เดือน - 2 ปี),64,PS,ใช้ช้อนตักอาหารกินเองได้,,,Teacher,80,
25,29,25 - 29 เดือน (2 ปี 1 เดือน - 2 ปี 5 เดือน),65,GM,กระโดดเท้าพ้นพื้นทั้ง 2 ข้าง,,,Teacher,80,
25,29,25 - 29 เดือน (2 ปี 1 เดือน - 2 ปี 5 เดือน),66,FM,แก้ปัญหาง่าย ๆ โดยใช้เครื่องมือด้วยตัวเอง,,,Teacher,80,
25,29,25 - 29 เดือน (2 ปี 1 เดือน - 2 ปี 5 เดือน),67,RL,ชี้อวัยวะ 7 ส่วน,,,Teacher,80,
25,29,25 - 29 เดือน (2 ปี 1 เดือน - 2 ปี 5 เดือน),68,EL,พูดตอบรับและปฏิเสธได้,,,Teacher,80,
25,29,25 - 29 เดือน (2 ปี 1 เดือน - 2 ปี 5 เดือน),69,PS,ล้างและเช็ดมือได้เอง,,,Teacher,80,
31,36,31 - 36 เดือน (2 ปี 7 เดือน - 3 ปี),79,GM,ยืนขาเดียว 1 วินาที,,,Teacher,80,
31,36,31 - 36 เดือน (2 ปี 7 เดือน - 3 ปี),80,FM,เลียนแบบลากเส้นเป็นวงต่อเนื่องกัน,,,Teacher,80,
31,36,31 - 36 เดือน (2 ปี 7 เดือน - 3 ปี),81,RL,นำวัตถุ 2 ชนิดในห้องมาให้ได้ตามคำสั่ง,,,Teacher,80,
31,36,31 - 36 เดือน (2 ปี 7 เดือน - 3 ปี),82,EL,พูดติดต่อกัน 3-4 คำ ได้อย่างน้อย 4 ความหมาย,,,Teacher,80,
31,36,31 - 36 เดือน (2 ปี 7 เดือน - 3 ปี),83,PS,ใส่กางเกงได้เอง,,,Teacher,80,
37,41,37 - 41 เดือน (3 ปี 1 เดือน - 3 ปี 5 เดือน),84,GM,ยืนขาเดียว 3 วินาที,,,Teacher,80,
37,41,37 - 41 เดือน (3 ปี 1 เดือน - 3 ปี 5 เดือน),85,FM,เลียนแบบวาดรูปวงกลม,,,Teacher,80,
37,41,37 - 41 เดือน (3 ปี 1 เดือน - 3 ปี 5 เดือน),86,RL,ทำตามคำสั่งต่อเนื่องได้ 2 กริยากับวัตถุ 2 ชนิด,,,Teacher,80,
37,41,37 - 41 เดือน (3 ปี 1 เดือน - 3 ปี 5 เดือน),87,EL,ถามคำถามได้ 4 แบบ เช่น ใคร อะไร ที่ไหน ทำไม,,,Teacher,80,
37,41,37 - 41 เดือน (3 ปี 1 เดือน - 3 ปี 5 เดือน),88,PS,ทำตามกฎในการเล่นเป็นกลุ่มได้โดยมีผู้ใหญ่แนะนำ,,,Teacher,80,
37,41,37 - 41 เดือน (3 ปี 1 เดือน - 3 ปี 5 เดือน),89,PS,ช่วยทำงานขั้นตอนเดียวได้เอง,,,Teacher,80,
43,48,43 - 48 เดือน (3 ปี 7 เดือน - 4 ปี),101,GM,กระโดดขาเดียวได้อย่างน้อย 2 ครั้ง,,,Teacher,81,
43,48,43 - 48 เดือน (3 ปี 7 เดือน - 4 ปี),102,FM,ตัดกระดาษรูปสี่เหลี่ยมจัตุรัสขนาด 10 ซม. ออกเป็น 2 ชิ้น (โดยใช้กรรไกรปลายมน),,,Teacher,81,
43,48,43 - 48 เดือน (3 ปี 7 เดือน - 4 ปี),103,FM,เลียนแบบวาดรูป + (เครื่องหมายบวก),,,Teacher,81,
43,48,43 - 48 เดือน (3 ปี 7 เดือน - 4 ปี),104,RL,เลือกวัตถุที่มีขนาดใหญ่กว่าและเล็กกว่า,,,Teacher,81,
43,48,43 - 48 เดือน (3 ปี 7 เดือน - 4 ปี),105,EL,พูดเป็นประโยคติดต่อกันโดยมีความหมายและเหมาะสมกับโอกาสได้,,,Teacher,81,
43,48,43 - 48 เดือน (3 ปี 7 เดือน - 4 ปี),106,PS,ใส่กระดุมขนาดใหญ่อย่างน้อย 2 ซม. ได้เอง 3 เม็ด,,,Teacher,81,
49,54,49 - 54 เดือน (4 ปี 1 เดือน - 4 ปี 6 เดือน),107,GM,กระโดดสองเท้าพร้อมกันไปด้านข้างและถอยหลังได้,,,Teacher,81,
49,54,49 - 54 เดือน (4 ปี 1 เดือน - 4 ปี 6 เดือน),108,FM,ประกอบชิ้นส่วนของรูปภาพที่ตัดออกเป็นส่วน ๆ 8 ชิ้นได้,,,Teacher,81,
49,54,49 - 54 เดือน (4 ปี 1 เดือน - 4 ปี 6 เดือน),109,RL,เลือกรูปภาพที่แสดงเวลากลางวัน กลางคืน,,,Teacher,81,
49,54,49 - 54 เดือน (4 ปี 1 เดือน - 4 ปี 6 เดือน),110,EL,"ตอบคำถามได้ถูกต้องเมื่อถามว่า ""ถ้ารู้สึกร้อน"" ""ไม่สบาย"" ""หิว"" จะทำอย่างไร",,,Teacher,81,
49,54,49 - 54 เดือน (4 ปี 1 เดือน - 4 ปี 6 เดือน),111,PS,ทำความสะอาดตนเองหลังจากอุจจาระได้,,,Teacher,81,
55,59,55 - 59 เดือน (4 ปี 7 เดือน - 4 ปี 11 เดือน),112,GM,เดินต่อสันเท้า,,,Teacher,81,
55,59,55 - 59 เดือน (4 ปี 7 เดือน - 4 ปี 11 เดือน),113,FM,จับดินสอได้ถูกต้อง,,,Teacher,81,
55,59,55 - 59 เดือน (4 ปี 7 เดือน - 4 ปี 11 เดือน),114,RL,เลือกสีได้ 8 สีตามคำสั่ง,,,Teacher,81,
55,59,55 - 59 เดือน (4 ปี 7 เดือน - 4 ปี 11 เดือน),115,EL,ผลัดกันพูดคุยกับเพื่อนในกลุ่ม,,,Teacher,81,
55,59,55 - 59 เดือน (4 ปี 7 เดือน - 4 ปี 11 เดือน),116,PS,เล่นเลียนแบบบทบาทของผู้ใหญ่ได้,,,Teacher,81,
61,66,61 - 66 เดือน (5 ปี 1 เดือน - 5 ปี 6 เดือน),125,GM,กระโดดขาเดียวไปข้างหน้าได้,,,Teacher,81,
61,66,61 - 66 เดือน (5 ปี 1 เดือน - 5 ปี 6 เดือน),126,FM,ตัดกระดาษเส้นตรง,,,Teacher,81,
61,66,61 - 66 เดือน (5 ปี 1 เดือน - 5 ปี 6 เดือน),127,RL,บวกเลขเบื้องต้น ผลลัพธ์ไม่เกิน 10,,,Teacher,81,
61,66,61 - 66 เดือน (5 ปี 1 เดือน - 5 ปี 6 เดือน),128,EL,เด็กสามารถอธิบายหน้าที่ หรือคุณสมบัติของสิ่งของได้อย่างน้อย 6 ชนิด,,,Teacher,81,
61,66,61 - 66 เดือน (5 ปี 1 เดือน - 5 ปี 6 เดือน),129,PS,ช่วยงานบ้าน,,,Teacher,81,
67,72,67 - 72 เดือน (5 ปี 7 เดือน - 6 ปี),130,GM,วิ่งหลบหลีกสิ่งกีดขวางได้,,,Teacher,81,
67,72,67 - 72 เดือน (5 ปี 7 เดือน - 6 ปี),131,FM,ลอกรูปสามเหลี่ยม,,,Teacher,81,
67,72,67 - 72 เดือน (5 ปี 7 เดือน - 6 ปี),132,RL,ลบเลข,,,Teacher,81,
67,72,67 - 72 เดือน (5 ปี 7 เดือน - 6 ปี),133,EL,"เด็กสามารถบอกชื่อสิ่งของได้ 3 หมวด ได้แก่ สัตว์, เสื้อผ้า, อาหาร",,,Teacher,81,
67,72,67 - 72 เดือน (5 ปี 7 เดือน - 6 ปี),134,PS,เด็กแปรงฟันได้ทั่วทั้งปาก,,,Teacher,81,
73,78,73 - 78 เดือน (6 ปี 1 เดือน - 6 ปี 6 เดือน),135,GM,เคลื่อนไหวร่างกายตามที่ตกลงกันให้คู่กับสัญญาณเสียงที่ผู้ใหญ่ทำขึ้น 2 ชนิดต่อกัน,,,Teacher,81,
73,78,73 - 78 เดือน (6 ปี 1 เดือน - 6 ปี 6 เดือน),136,FM,เขียนชื่อตนเองได้ถูกต้อง,,,Teacher,81,
73,78,73 - 78 เดือน (6 ปี 1 เดือน - 6 ปี 6 เดือน),137,RL,อ่านหนังสือที่มีภาพอย่างต่อเนื่องจนจบ และเล่าได้ว่าเป็นเรื่องอะไร,,,Teacher,81,
73,78,73 - 78 เดือน (6 ปี 1 เดือน - 6 ปี 6 เดือน),138,EL,สามารถคิดเชิงเหตุผลและอธิบายได้,,,Teacher,81,
73,78,73 - 78 เดือน (6 ปี 1 เดือน - 6 ปี 6 เดือน),139,PS,ทำงานที่ได้รับมอบหมายจนสำเร็จด้วยตนเอง,,,Teacher,81,
9,9,9 เดือน,27,GM,ลุกขึ้นนั่งได้จากท่านอน,,,HealthPersonnel,82,
9,9,9 เดือน,28,GM,ยืนอยู่ได้โดยใช้มือเกาะเครื่องเรือนสูงระดับอก,,,HealthPersonnel,82,
9,9,9 เดือน,29,FM,หยิบก้อนไม้จากพื้นและถือไว้มือละชิ้น,,,HealthPersonnel,82,
9,9,9 เดือน,30,FM,ใช้นิ้วหัวแม่มือและนิ้วอื่น ๆ หยิบของขึ้นจากพื้น,,,HealthPersonnel,82,
9,9,9 เดือน,31,RL,ทำตามคำสั่งง่าย ๆ เมื่อใช้ท่าทางประกอบ,,,HealthPersonnel,82,
9,9,9 เดือน,32,EL,เด็กรู้จักการปฏิเสธด้วยการแสดงท่าทาง,,,HealthPersonnel,82,
9,9,9 เดือน,33,EL,เลียนเสียงคำพูดที่คุ้นเคยได้อย่างน้อย 1 เสียง,,,HealthPersonnel,82,
9,9,9 เดือน,34,PS,ใช้นิ้วหยิบอาหารกินได้,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),50,GM,วิ่งได้,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),51,GM,เดินถือลูกบอลไปได้ไกล 3 เมตร,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),52,FM,เปิดหน้าหนังสือที่ทำด้วยกระดาษแข็งทีละแผ่นได้เอง,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),53,FM,ต่อก้อนไม้ 2 ชั้น,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),54,RL,เลือกวัตถุตามคำสั่งได้ถูกต้อง 3 ชนิด,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),55,RL,ชี้อวัยวะได้ 1 ส่วน,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),56,EL,พูดเลียนคำที่เด่นหรือคำสุดท้ายของคำพูด,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),57,EL,พูดเป็นคำ ๆ ได้ 4 คำ เรียกชื่อสิ่งของหรือทักทาย (คำอื่นที่ไม่ใช่คำเรียกพ่อแม่ ชื่อคนคุ้นเคย หรือชื่อสัตว์เลี้ยงในบ้าน),,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),58,PS,สนใจและมองตามสิ่งที่ผู้ใหญ่ชี้ที่อยู่ไกลออกไปประมาณ 3 เมตร,,,HealthPersonnel,82,
18,18,18 เดือน (1 ปี 6 เดือน),59,PS,ดื่มน้ำจากถ้วยโดยไม่หก,,,HealthPersonnel,82,
30,30,30 เดือน (2 ปี 6 เดือน),70,GM,กระโดดข้ามเชือกบนพื้นไปข้างหน้าได้,,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),71,GM,ขว้างลูกบอลขนาดเล็กได้โดยยกมือขึ้นเหนือศีรษะ,,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),72,FM,ต่อก้อนไม้สี่เหลี่ยมลูกบาศก์เป็นหอสูงได้ 8 ก้อน,,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),73,RL,ยื่นวัตถุให้ผู้ทดสอบได้ 1 ชิ้นตามคำบอก (รู้จำนวนเท่ากับ 1),,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),74,RL,สนใจฟังนิทานได้นาน 5 นาที,,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),75,RL,"วางวัตถุไว้ ""ข้างบน"" และ ""ข้างใต้"" ตามคำสั่งได้",,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),76,EL,พูดติดต่อกัน 2 คำขึ้นไปอย่างมีความหมายโดยใช้คำกริยาได้ถูกต้องอย่างน้อย 4 กริยา,,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),77,PS,ร้องเพลงได้บางคำหรือร้องเพลงคลอตามทำนอง,,,HealthPersonnel,83,
30,30,30 เดือน (2 ปี 6 เดือน),78,PS,เด็กรู้จักรอให้ถึงรอบของตนเองในการเล่นโดยมีผู้ใหญ่คอยบอก,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),90,GM,ยืนขาเดียว 5 วินาที,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),91,GM,ใช้แขนรับลูกบอลได้,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),92,FM,แยกรูปทรงเรขาคณิตได้ 3 แบบ,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),93,FM,ประกอบชิ้นส่วนของรูปภาพที่ถูกตัดออกเป็น 3 ชิ้นได้,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),94,FM,เขียนรูปวงกลมตามแบบได้,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),95,RL,วางวัตถุไว้ข้างหน้าและข้างหลังได้ตามคำสั่ง,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),96,RL,เลือกจัดกลุ่มวัตถุตามประเภท (ภาพเสื้อผ้า) ได้,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),97,EL,พูดถึงเหตุการณ์ที่เพิ่งผ่านไปใหม่ ๆ ได้,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),98,EL,"พูด ""ขอ"" หรือ ""ขอบคุณ"" หรือ ""ให้"" ได้เอง",,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),99,PS,บอกเพศของตนเองได้ถูกต้อง,,,HealthPersonnel,83,
42,42,42 เดือน (3 ปี 6 เดือน),100,PS,ใส่เสื้อผ่าหน้าได้เองโดยไม่ต้องติดกระดุม,,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),117,GM,เดินต่อเท้าเป็นเส้นตรงไปข้างหน้าได้,,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),118,FM,ลอกรูปสี่เหลี่ยม,,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),119,FM,วาดรูปคนได้ 6 ส่วน,,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),120,RL,จับใจความเมื่อฟังนิทานหรือเรื่องเล่า,,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),121,RL,นับก้อนไม้ 5 ก้อน,,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),122,EL,"อ่านออกเสียงพยัญชนะได้ถูกต้อง 5 ตัว ดังนี้ ""ก"" ""ง"" ""ด"" ""น"" ""ย""",,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),123,EL,รู้จักพูดอย่างมีเหตุผล,,,HealthPersonnel,83,
60,60,60 เดือน (5 ปี),124,PS,แสดงความเห็นอกเห็นใจเมื่อเห็นเพื่อนเจ็บหรือไม่สบาย,,,HealthPersonnel,83,
